合约代码,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
au2412,20:24:50.500,594.24,0,1.79769e+308,0,1.79769e+308,0,220257,0
au2412,20:59:00.0,594.2,103,594.2,4,594.24,6,220291,6.12026e+07
au2412,21:00:00.0,594.4,126,594.34,33,594.44,1,220309,7.48727e+07
au2412,21:00:00.500,594.46,191,594.48,1,594.52,1,220310,1.13513e+08
au2412,21:00:01.0,594.48,243,594.44,9,594.48,2,220297,1.44426e+08
au2412,21:00:01.500,594.52,279,594.52,4,594.6,2,220283,1.65827e+08
au2412,21:00:02.0,594.44,308,594.44,5,594.48,26,220281,1.83067e+08
au2412,21:00:02.500,594.48,351,594.36,4,594.44,1,220288,2.08628e+08
au2412,21:00:03.0,594.38,364,594.38,2,594.4,1,220282,2.16355e+08
au2412,21:00:03.500,594.44,398,594.38,1,594.44,14,220283,2.36564e+08
au2412,21:00:04.0,594.26,449,594.26,1,594.38,1,220289,2.66879e+08
au2412,21:00:04.500,594.4,488,594.4,15,594.42,8,220270,2.9006e+08
au2412,21:00:05.0,594.4,526,594.4,3,594.42,3,220253,3.12648e+08
au2412,21:00:05.500,594.38,535,594.36,1,594.38,5,220258,3.17997e+08
au2412,21:00:06.0,594.4,571,594.38,1,594.4,1,220247,3.39395e+08
au2412,21:00:06.500,594.4,589,594.42,3,594.44,1,220243,3.50094e+08
au2412,21:00:07.0,594.38,603,594.32,1,594.38,3,220248,3.58416e+08
au2412,21:00:07.500,594.4,614,594.38,3,594.4,5,220243,3.64954e+08
au2412,21:00:08.0,594.42,633,594.42,2,594.44,5,220233,3.76248e+08
au2412,21:00:08.500,594.42,647,594.4,3,594.48,12,220230,3.8457e+08
au2412,21:00:09.0,594.48,666,594.44,4,594.48,9,220228,3.95864e+08
au2412,21:00:09.500,594.48,687,594.48,2,594.52,7,220229,4.08349e+08
au2412,21:00:10.0,594.48,702,594.48,1,594.52,8,220235,4.17266e+08
au2412,21:00:10.500,594.5,712,594.44,2,594.48,3,220240,4.23211e+08
au2412,21:00:11.0,594.44,719,594.42,2,594.48,6,220235,4.27372e+08
au2412,21:00:11.500,594.38,748,594.38,5,594.48,1,220234,4.44611e+08
au2412,21:00:12.0,594.48,756,594.44,1,594.46,1,220232,4.49367e+08
au2412,21:00:12.500,594.44,763,594.4,5,594.46,1,220230,4.53528e+08
au2412,21:00:13.0,594.48,769,594.4,6,594.46,2,220230,4.57095e+08
au2412,21:00:13.500,594.6,801,594.6,22,594.62,2,220246,4.7612e+08
au2412,21:00:14.0,594.56,837,594.52,1,594.56,2,220267,4.97525e+08
au2412,21:00:14.500,594.52,849,594.48,2,594.52,11,220271,5.04659e+08
au2412,21:00:15.0,594.54,868,594.5,2,594.56,6,220267,5.15955e+08
au2412,21:00:15.500,594.56,880,594.52,2,594.56,1,220266,5.2309e+08
au2412,21:00:16.0,594.56,890,594.56,9,594.6,1,220264,5.29035e+08
au2412,21:00:16.500,594.54,910,594.52,5,594.6,8,220257,5.40926e+08
au2412,21:00:17.0,594.54,914,594.52,6,594.56,23,220255,5.43304e+08
au2412,21:00:17.500,594.54,925,594.5,1,594.54,7,220255,5.49844e+08
au2412,21:00:18.0,594.5,936,594.46,7,594.5,2,220257,5.56384e+08
au2412,21:00:18.500,594.56,951,594.48,1,594.56,22,220250,5.65301e+08
au2412,21:00:19.0,594.52,955,594.5,1,594.54,10,220250,5.67679e+08
au2412,21:00:19.500,594.5,958,594.48,10,594.5,2,220247,5.69463e+08
au2412,21:00:20.0,594.5,972,594.5,1,594.54,4,220246,5.77786e+08
au2412,21:00:20.500,594.5,982,594.5,12,594.54,3,220249,5.83731e+08
au2412,21:00:21.0,594.54,988,594.52,1,594.56,22,220248,5.87298e+08
au2412,21:00:21.500,594.56,989,594.54,5,594.56,21,220248,5.87893e+08
au2412,21:00:22.0,594.56,1018,594.54,1,594.6,9,220229,6.05135e+08
au2412,21:00:22.500,594.56,1021,594.56,4,594.6,8,220229,6.06918e+08
au2412,21:00:23.0,594.56,1026,594.56,3,594.6,6,220229,6.09891e+08
au2412,21:00:23.500,594.54,1037,594.54,4,594.6,1,220225,6.16432e+08
au2412,21:00:24.0,594.6,1042,594.6,3,594.62,3,220227,6.19405e+08
au2412,21:00:24.500,594.58,1049,594.56,3,594.6,5,220226,6.23567e+08
au2412,21:00:25.0,594.6,1054,594.6,4,594.62,1,220226,6.2654e+08
au2412,21:00:25.500,594.56,1066,594.56,2,594.6,11,220221,6.33675e+08
au2412,21:00:26.0,594.6,1072,594.54,17,594.56,11,220219,6.37242e+08
au2412,21:00:26.500,594.6,1088,594.54,16,594.6,6,220217,6.46756e+08
au2412,21:00:27.0,594.54,1098,594.54,18,594.56,3,220216,6.52701e+08
au2412,21:00:27.500,594.6,1111,594.54,10,594.56,2,220225,6.6043e+08
au2412,21:00:28.0,594.56,1127,594.52,5,594.56,11,220232,6.69943e+08
au2412,21:00:28.500,594.56,1132,594.52,5,594.56,10,220230,6.72916e+08
