合约代码,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
cu2410,20:24:50.500,76760,0,1.79769e+308,0,1.79769e+308,0,101686,0
cu2410,20:59:00.0,77060,953,77060,12,77100,2,101129,3.67191e+08
cu2410,21:00:00.0,77100,1121,77100,125,77150,10,101121,4.31956e+08
cu2410,21:00:00.500,77140,1259,77120,3,77140,5,101086,4.85182e+08
cu2410,21:00:01.0,77120,1353,77120,71,77140,4,101078,5.21434e+08
cu2410,21:00:01.500,77120,1402,77120,34,77140,4,101037,5.40331e+08
cu2410,21:00:02.0,77120,1421,77120,3,77130,7,101028,5.47658e+08
cu2410,21:00:02.500,77120,1473,77120,6,77130,31,101010,5.67709e+08
cu2410,21:00:03.0,77130,1517,77100,7,77130,29,100985,5.84676e+08
cu2410,21:00:03.500,77110,1537,77110,2,77130,36,100979,5.92388e+08
cu2410,21:00:04.0,77110,1557,77110,3,77120,11,100967,6.00099e+08
cu2410,21:00:04.500,77100,1565,77100,4,77120,29,100963,6.03183e+08
cu2410,21:00:05.0,77120,1584,77100,12,77120,23,100958,6.10509e+08
cu2410,21:00:05.500,77120,1602,77100,14,77110,2,100941,6.1745e+08
cu2410,21:00:06.0,77110,1611,77100,13,77110,4,100936,6.2092e+08
cu2410,21:00:06.500,77100,1649,77100,1,77110,3,100919,6.35569e+08
cu2410,21:00:07.0,77100,1661,77080,2,77100,7,100921,6.40195e+08
cu2410,21:00:07.500,77100,1679,77080,12,77100,6,100909,6.47134e+08
cu2410,21:00:08.0,77080,1699,77080,4,77100,5,100903,6.54844e+08
cu2410,21:00:08.500,77080,1702,77080,1,77090,4,100902,6.56e+08
cu2410,21:00:09.0,77080,1713,77070,7,77080,6,100895,6.6024e+08
cu2410,21:00:09.500,77100,1733,77090,5,77100,4,100886,6.67948e+08
cu2410,21:00:10.0,77080,1748,77080,3,77090,21,100883,6.7373e+08
cu2410,21:00:10.500,77080,1765,77060,11,77080,4,100875,6.80281e+08
cu2410,21:00:11.0,77070,1782,77070,1,77080,9,100865,6.86833e+08
cu2410,21:00:11.500,77080,1787,77070,20,77080,17,100860,6.8876e+08
cu2410,21:00:12.0,77080,1791,77070,10,77080,16,100861,6.90301e+08
cu2410,21:00:12.500,77080,1809,77070,1,77080,12,100854,6.97238e+08
cu2410,21:00:13.0,77070,1815,77060,12,77070,1,100852,6.9955e+08
cu2410,21:00:13.500,77070,1816,77060,14,77070,5,100851,6.99935e+08
cu2410,21:00:14.0,77060,1825,77060,3,77070,42,100842,7.03403e+08
cu2410,21:00:14.500,77060,1833,77060,6,77070,8,100837,7.06486e+08
cu2410,21:00:15.0,77060,1837,77060,3,77070,16,100834,7.08027e+08
cu2410,21:00:15.500,77060,1842,77050,3,77070,16,100834,7.09953e+08
cu2410,21:00:16.0,77060,1842,77050,3,77060,7,100834,7.09953e+08
cu2410,21:00:16.500,77060,1849,77050,2,77060,7,100833,7.1265e+08
cu2410,21:00:17.0,77060,1868,77050,31,77060,13,100833,7.19971e+08
cu2410,21:00:17.500,77060,1902,77060,1,77070,363,100820,7.33071e+08
cu2410,21:00:18.0,77050,1904,77040,4,77060,5,100820,7.33841e+08
cu2410,21:00:18.500,77050,1913,77040,23,77050,2,100816,7.37309e+08
cu2410,21:00:19.0,77040,1927,77030,7,77050,5,100809,7.42702e+08
cu2410,21:00:19.500,77030,1931,77030,32,77050,7,100809,7.44243e+08
cu2410,21:00:20.0,77040,1940,77030,44,77040,13,100811,7.4771e+08
cu2410,21:00:20.500,77040,1954,77030,4,77040,15,100802,7.53102e+08
cu2410,21:00:21.0,77030,1964,77030,2,77040,20,100802,7.56954e+08
cu2410,21:00:21.500,77040,1979,77020,3,77040,11,100803,7.62732e+08
cu2410,21:00:22.0,77040,1996,77020,25,77040,5,100798,7.6928e+08
cu2410,21:00:22.500,77030,2000,77030,3,77040,8,100798,7.70821e+08
